2020/07/30 06:57:28:     Epoch 37 Loss | total: 3284.4 | cycle: 76.3 | f_dist: 1.36e+03 | g_dist: 1.26e+03 | f_sup: 300 | g_sup: 287        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.26 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.27 | half: 0.80
2020/07/30 06:57:29:     Epoch 39 Loss | total: 3247.3 | cycle: 69.8 | f_dist: 1.35e+03 | g_dist: 1.26e+03 | f_sup: 290 | g_sup: 278        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.80
2020/07/30 06:57:31:     Epoch 41 Loss | total: 3208.6 | cycle: 68.7 | f_dist: 1.35e+03 | g_dist: 1.25e+03 | f_sup: 284 | g_sup: 256        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.79
2020/07/30 06:57:32:     Epoch 43 Loss | total: 3175.8 | cycle: 63.1 | f_dist: 1.34e+03 | g_dist: 1.25e+03 | f_sup: 271 | g_sup: 249        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.80
2020/07/30 06:57:34:     Epoch 45 Loss | total: 3144.5 | cycle: 62.5 | f_dist: 1.34e+03 | g_dist: 1.25e+03 | f_sup: 258 | g_sup: 239        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.79        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.80
2020/07/30 06:57:35:     Epoch 47 Loss | total: 3123.7 | cycle: 62.6 | f_dist: 1.33e+03 | g_dist: 1.24e+03 | f_sup: 252 | g_sup: 236        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.80
2020/07/30 06:57:37:     Epoch 49 Loss | total: 3099.6 | cycle: 54.4 | f_dist: 1.33e+03 | g_dist: 1.24e+03 | f_sup: 247 | g_sup: 232        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.80
2020/07/30 06:57:38:     Epoch 51 Loss | total: 3095.8 | cycle: 57.2 | f_dist: 1.33e+03 | g_dist: 1.24e+03 | f_sup: 242 | g_sup: 226        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.79        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.80
2020/07/30 06:57:40:     Epoch 53 Loss | total: 3076.7 | cycle: 58.1 | f_dist: 1.33e+03 | g_dist: 1.24e+03 | f_sup: 238 | g_sup: 214        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.79        g(y) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.27 | half: 0.80
2020/07/30 06:57:41:     Epoch 55 Loss | total: 3078.4 | cycle: 59.6 | f_dist: 1.32e+03 | g_dist: 1.24e+03 | f_sup: 237 | g_sup: 216        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.28 | half: 0.79
2020/07/30 06:57:43:     Epoch 57 Loss | total: 3046.8 | cycle: 50.2 | f_dist: 1.32e+03 | g_dist: 1.24e+03 | f_sup: 234 | g_sup: 207        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.25 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.28 | half: 0.79
2020/07/30 06:57:44:     Epoch 59 Loss | total: 3043.4 | cycle: 48.1 | f_dist: 1.32e+03 | g_dist: 1.24e+03 | f_sup: 237 | g_sup: 196        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.18 | 10: 0.27 | half: 0.79
2020/07/30 06:57:46:     Epoch 61 Loss | total: 3035.1 | cycle: 53.6 | f_dist: 1.32e+03 | g_dist: 1.24e+03 | f_sup: 226 | g_sup: 194        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:57:47:     Epoch 63 Loss | total: 3023.8 | cycle: 52.4 | f_dist: 1.32e+03 | g_dist: 1.24e+03 | f_sup: 226 | g_sup: 188        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:57:48:     Epoch 65 Loss | total: 2996.2 | cycle: 48.4 | f_dist: 1.31e+03 | g_dist: 1.24e+03 | f_sup: 215 | g_sup: 187        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.27 | half: 0.78
2020/07/30 06:57:50:     Epoch 67 Loss | total: 2980.3 | cycle: 43.1 | f_dist: 1.31e+03 | g_dist: 1.23e+03 | f_sup: 210 | g_sup: 184        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.78
2020/07/30 06:57:51:     Epoch 69 Loss | total: 2982.1 | cycle: 41.6 | f_dist: 1.31e+03 | g_dist: 1.24e+03 | f_sup: 208 | g_sup: 184        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.24 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.78
2020/07/30 06:57:53:     Epoch 71 Loss | total: 2992 | cycle: 49.4 | f_dist: 1.31e+03 | g_dist: 1.24e+03 | f_sup: 205 | g_sup: 187        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.24 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.78
2020/07/30 06:57:54:     Epoch 73 Loss | total: 2979.7 | cycle: 43.1 | f_dist: 1.31e+03 | g_dist: 1.23e+03 | f_sup: 217 | g_sup: 173        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.23 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.78
2020/07/30 06:57:56:     Epoch 75 Loss | total: 3002.1 | cycle: 43.5 | f_dist: 1.31e+03 | g_dist: 1.24e+03 | f_sup: 227 | g_sup: 187        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.25 | half: 0.78
2020/07/30 06:57:57:     Epoch 77 Loss | total: 2985.4 | cycle: 44.1 | f_dist: 1.31e+03 | g_dist: 1.23e+03 | f_sup: 211 | g_sup: 185        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.23 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.78
2020/07/30 06:57:59:     Epoch 79 Loss | total: 2958.1 | cycle: 37.4 | f_dist: 1.31e+03 | g_dist: 1.23e+03 | f_sup: 201 | g_sup: 179        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.23 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:00:     Epoch 81 Loss | total: 2957.7 | cycle: 42 | f_dist: 1.3e+03 | g_dist: 1.24e+03 | f_sup: 195 | g_sup: 181        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.25 | half: 0.79
2020/07/30 06:58:02:     Epoch 83 Loss | total: 2926.4 | cycle: 42.2 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 186 | g_sup: 170        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.79
2020/07/30 06:58:03:     Epoch 85 Loss | total: 2914.6 | cycle: 35.3 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 185 | g_sup: 169        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:05:     Epoch 87 Loss | total: 2918.5 | cycle: 38.7 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 189 | g_sup: 166        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.24 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:06:     Epoch 89 Loss | total: 2918.8 | cycle: 37 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 194 | g_sup: 162        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.24 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:08:     Epoch 91 Loss | total: 2913.1 | cycle: 33.4 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 193 | g_sup: 161        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.23 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:09:     Epoch 93 Loss | total: 2914.8 | cycle: 36 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 191 | g_sup: 161        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.26 | half: 0.79
2020/07/30 06:58:11:     Epoch 95 Loss | total: 2916.5 | cycle: 38 | f_dist: 1.3e+03 | g_dist: 1.23e+03 | f_sup: 192 | g_sup: 160        f(x) Accuracy | 1: 0.11 | 5: 0.19 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.79
