2020/08/06 07:14:29: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:14:32:     Epoch 37 Loss | total: 507.85 | cycle: 49.1 | f_dist: 57.2 | g_dist: 57.5 | f_sup: 173 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:32:     Epoch 39 Loss | total: 504.47 | cycle: 45.9 | f_dist: 56.9 | g_dist: 57.6 | f_sup: 173 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:33:     Epoch 41 Loss | total: 509.29 | cycle: 51.3 | f_dist: 57.3 | g_dist: 57.4 | f_sup: 172 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:33:     Epoch 43 Loss | total: 509.72 | cycle: 51.6 | f_dist: 57.1 | g_dist: 57 | f_sup: 172 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.22 | 10: 0.32 | half: 0.77
2020/08/06 07:14:33:     Epoch 45 Loss | total: 504.99 | cycle: 47.5 | f_dist: 57 | g_dist: 57.1 | f_sup: 172 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.22 | 10: 0.32 | half: 0.77
2020/08/06 07:14:33:     Epoch 47 Loss | total: 502.07 | cycle: 44.7 | f_dist: 56.9 | g_dist: 57.4 | f_sup: 173 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:33:     Epoch 49 Loss | total: 504.67 | cycle: 47.8 | f_dist: 57.2 | g_dist: 57.3 | f_sup: 172 | g_sup: 171        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:34:     Epoch 51 Loss | total: 505.9 | cycle: 49.3 | f_dist: 57.4 | g_dist: 57.2 | f_sup: 172 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.31 | half: 0.77
2020/08/06 07:14:34:     Epoch 53 Loss | total: 510.38 | cycle: 53.9 | f_dist: 56.7 | g_dist: 57.6 | f_sup: 172 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:34:     Epoch 55 Loss | total: 505.03 | cycle: 49 | f_dist: 57 | g_dist: 57.2 | f_sup: 172 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.32 | half: 0.77
