2020/08/06 07:15:51: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:15:52:     Epoch 1 Loss | total: 1051.3 | cycle: 109 | f_dist: 99.2 | g_dist: 97.7 | f_sup: 388 | g_sup: 357        f(x) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.06 | half: 0.63        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.59
2020/08/06 07:15:52:     Epoch 3 Loss | total: 278.62 | cycle: 9.85 | f_dist: 8.41 | g_dist: 7.06 | f_sup: 118 | g_sup: 136        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.23 | half: 1.00        g(y) Accuracy | 1: 0.01 | 5: 0.10 | 10: 0.17 | half: 1.00
2020/08/06 07:15:52:     Epoch 5 Loss | total: 106.11 | cycle: 32.3 | f_dist: 4.41 | g_dist: 5.81 | f_sup: 32 | g_sup: 31.6        f(x) Accuracy | 1: 0.32 | 5: 0.84 | 10: 0.99 | half: 1.00        g(y) Accuracy | 1: 0.29 | 5: 0.91 | 10: 1.00 | half: 1.00
2020/08/06 07:15:52:     Epoch 7 Loss | total: 48.609 | cycle: 1.12 | f_dist: 6.07 | g_dist: 7.47 | f_sup: 12.6 | g_sup: 21.4        f(x) Accuracy | 1: 0.15 | 5: 0.91 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.12 | 5: 0.57 | 10: 0.83 | half: 1.00
2020/08/06 07:15:52:     Epoch 9 Loss | total: 34.272 | cycle: 3.95 | f_dist: 4.9 | g_dist: 4.79 | f_sup: 9.32 | g_sup: 11.3        f(x) Accuracy | 1: 0.46 | 5: 0.95 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.54 | 5: 0.99 | 10: 1.00 | half: 1.00
2020/08/06 07:15:53:     Epoch 11 Loss | total: 10.338 | cycle: 1.5 | f_dist: 1.1 | g_dist: 2.2 | f_sup: 2.05 | g_sup: 3.5        f(x) Accuracy | 1: 0.74 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.57 | 5: 0.97 | 10: 1.00 | half: 1.00
2020/08/06 07:15:53:     Epoch 13 Loss | total: 6.4767 | cycle: 0.623 | f_dist: 1.83 | g_dist: 0.854 | f_sup: 1.92 | g_sup: 1.25        f(x) Accuracy | 1: 0.74 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.92 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:53:     Epoch 15 Loss | total: 2.8698 | cycle: 0.452 | f_dist: 0.369 | g_dist: 0.713 | f_sup: 0.46 | g_sup: 0.876        f(x) Accuracy | 1: 0.91 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.92 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:53:     Epoch 17 Loss | total: 2.2016 | cycle: 0.386 | f_dist: 0.473 | g_dist: 0.347 | f_sup: 0.627 | g_sup: 0.367        f(x) Accuracy | 1: 0.94 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.94 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:53:     Epoch 19 Loss | total: 1.6615 | cycle: 0.336 | f_dist: 0.377 | g_dist: 0.279 | f_sup: 0.385 | g_sup: 0.284        f(x) Accuracy | 1: 0.96 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.96 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:54:     Epoch 21 Loss | total: 1.3843 | cycle: 0.27 | f_dist: 0.277 | g_dist: 0.249 | f_sup: 0.328 | g_sup: 0.261        f(x) Accuracy | 1: 0.94 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.96 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:54:     Epoch 23 Loss | total: 2.5691 | cycle: 0.308 | f_dist: 0.263 | g_dist: 0.369 | f_sup: 0.756 | g_sup: 0.873        f(x) Accuracy | 1: 0.93 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.98 | 5: 1.00 | 10: 1.00 | half: 1.00
