2020/07/29 19:23:56:     Epoch 37 Loss | total: 278.46 | cycle: 2.26 | f_dist: 126 | g_dist: 131 | f_sup: 12.8 | g_sup: 6.18        f(x) Accuracy | 1: 0.12 | 5: 0.31 | 10: 0.40 | half: 0.96        g(y) Accuracy | 1: 0.11 | 5: 0.29 | 10: 0.37 | half: 0.94
2020/07/29 19:23:57:     Epoch 39 Loss | total: 274.16 | cycle: 2.67 | f_dist: 125 | g_dist: 130 | f_sup: 9.59 | g_sup: 6.52        f(x) Accuracy | 1: 0.13 | 5: 0.32 | 10: 0.41 | half: 0.96        g(y) Accuracy | 1: 0.13 | 5: 0.29 | 10: 0.38 | half: 0.95
2020/07/29 19:23:58:     Epoch 41 Loss | total: 269.46 | cycle: 1.7 | f_dist: 124 | g_dist: 131 | f_sup: 6.74 | g_sup: 6.78        f(x) Accuracy | 1: 0.14 | 5: 0.32 | 10: 0.42 | half: 0.96        g(y) Accuracy | 1: 0.14 | 5: 0.30 | 10: 0.39 | half: 0.95
2020/07/29 19:23:58:     Epoch 43 Loss | total: 269.25 | cycle: 1.82 | f_dist: 123 | g_dist: 130 | f_sup: 6.63 | g_sup: 7.65        f(x) Accuracy | 1: 0.13 | 5: 0.33 | 10: 0.42 | half: 0.96        g(y) Accuracy | 1: 0.14 | 5: 0.31 | 10: 0.41 | half: 0.95
2020/07/29 19:23:59:     Epoch 45 Loss | total: 272.82 | cycle: 2.33 | f_dist: 122 | g_dist: 130 | f_sup: 6.85 | g_sup: 11.6        f(x) Accuracy | 1: 0.13 | 5: 0.34 | 10: 0.43 | half: 0.96        g(y) Accuracy | 1: 0.14 | 5: 0.32 | 10: 0.41 | half: 0.95
2020/07/29 19:24:00:     Epoch 47 Loss | total: 286.69 | cycle: 2.59 | f_dist: 122 | g_dist: 130 | f_sup: 8.14 | g_sup: 23.8        f(x) Accuracy | 1: 0.15 | 5: 0.35 | 10: 0.45 | half: 0.96        g(y) Accuracy | 1: 0.15 | 5: 0.33 | 10: 0.42 | half: 0.96
2020/07/29 19:24:00:     Epoch 49 Loss | total: 301.6 | cycle: 4.2 | f_dist: 122 | g_dist: 131 | f_sup: 10.7 | g_sup: 34.2        f(x) Accuracy | 1: 0.15 | 5: 0.35 | 10: 0.47 | half: 0.96        g(y) Accuracy | 1: 0.15 | 5: 0.34 | 10: 0.43 | half: 0.96
2020/07/29 19:24:01:     Epoch 51 Loss | total: 286.68 | cycle: 4.04 | f_dist: 121 | g_dist: 129 | f_sup: 15.5 | g_sup: 16.8        f(x) Accuracy | 1: 0.16 | 5: 0.37 | 10: 0.48 | half: 0.96        g(y) Accuracy | 1: 0.17 | 5: 0.35 | 10: 0.44 | half: 0.97
2020/07/29 19:24:02:     Epoch 53 Loss | total: 281.73 | cycle: 3.09 | f_dist: 122 | g_dist: 127 | f_sup: 19.2 | g_sup: 10.5        f(x) Accuracy | 1: 0.18 | 5: 0.39 | 10: 0.48 | half: 0.96        g(y) Accuracy | 1: 0.19 | 5: 0.38 | 10: 0.46 | half: 0.97
2020/07/29 19:24:02:     Epoch 55 Loss | total: 270.39 | cycle: 2.6 | f_dist: 120 | g_dist: 126 | f_sup: 13.8 | g_sup: 7.37        f(x) Accuracy | 1: 0.18 | 5: 0.40 | 10: 0.50 | half: 0.96        g(y) Accuracy | 1: 0.20 | 5: 0.38 | 10: 0.46 | half: 0.97
2020/07/29 19:24:03:     Epoch 57 Loss | total: 260.61 | cycle: 2.13 | f_dist: 118 | g_dist: 125 | f_sup: 9.19 | g_sup: 6.24        f(x) Accuracy | 1: 0.21 | 5: 0.42 | 10: 0.52 | half: 0.96        g(y) Accuracy | 1: 0.20 | 5: 0.38 | 10: 0.48 | half: 0.97
2020/07/29 19:24:04:     Epoch 59 Loss | total: 265.54 | cycle: 2.69 | f_dist: 117 | g_dist: 124 | f_sup: 12.7 | g_sup: 9.23        f(x) Accuracy | 1: 0.22 | 5: 0.42 | 10: 0.52 | half: 0.97        g(y) Accuracy | 1: 0.21 | 5: 0.38 | 10: 0.49 | half: 0.97
2020/07/29 19:24:04:     Epoch 61 Loss | total: 273.39 | cycle: 3.59 | f_dist: 117 | g_dist: 123 | f_sup: 16.7 | g_sup: 12.9        f(x) Accuracy | 1: 0.23 | 5: 0.43 | 10: 0.55 | half: 0.97        g(y) Accuracy | 1: 0.22 | 5: 0.40 | 10: 0.50 | half: 0.97
2020/07/29 19:24:05:     Epoch 63 Loss | total: 264.07 | cycle: 2.44 | f_dist: 115 | g_dist: 122 | f_sup: 12.3 | g_sup: 11.7        f(x) Accuracy | 1: 0.24 | 5: 0.45 | 10: 0.55 | half: 0.97        g(y) Accuracy | 1: 0.24 | 5: 0.41 | 10: 0.52 | half: 0.97
2020/07/29 19:24:06:     Epoch 65 Loss | total: 254.96 | cycle: 2.37 | f_dist: 114 | g_dist: 121 | f_sup: 6.74 | g_sup: 11.5        f(x) Accuracy | 1: 0.27 | 5: 0.47 | 10: 0.56 | half: 0.97        g(y) Accuracy | 1: 0.24 | 5: 0.43 | 10: 0.55 | half: 0.97
2020/07/29 19:24:06:     Epoch 67 Loss | total: 252.21 | cycle: 3.49 | f_dist: 112 | g_dist: 119 | f_sup: 5 | g_sup: 13.6        f(x) Accuracy | 1: 0.30 | 5: 0.49 | 10: 0.58 | half: 0.97        g(y) Accuracy | 1: 0.26 | 5: 0.45 | 10: 0.57 | half: 0.97
2020/07/29 19:24:07:     Epoch 69 Loss | total: 249.41 | cycle: 4.47 | f_dist: 109 | g_dist: 116 | f_sup: 5.67 | g_sup: 13.5        f(x) Accuracy | 1: 0.33 | 5: 0.51 | 10: 0.60 | half: 0.97        g(y) Accuracy | 1: 0.28 | 5: 0.50 | 10: 0.58 | half: 0.97
2020/07/29 19:24:08:     Epoch 71 Loss | total: 241.88 | cycle: 3.68 | f_dist: 106 | g_dist: 114 | f_sup: 8.18 | g_sup: 10.8        f(x) Accuracy | 1: 0.36 | 5: 0.53 | 10: 0.62 | half: 0.98        g(y) Accuracy | 1: 0.30 | 5: 0.51 | 10: 0.59 | half: 0.98
2020/07/29 19:24:08:     Epoch 73 Loss | total: 232.6 | cycle: 2.54 | f_dist: 102 | g_dist: 110 | f_sup: 8.6 | g_sup: 9.07        f(x) Accuracy | 1: 0.38 | 5: 0.55 | 10: 0.64 | half: 0.98        g(y) Accuracy | 1: 0.34 | 5: 0.54 | 10: 0.61 | half: 0.98
2020/07/29 19:24:09:     Epoch 75 Loss | total: 221.81 | cycle: 2.01 | f_dist: 99.5 | g_dist: 105 | f_sup: 6.33 | g_sup: 8.68        f(x) Accuracy | 1: 0.40 | 5: 0.56 | 10: 0.65 | half: 0.98        g(y) Accuracy | 1: 0.38 | 5: 0.55 | 10: 0.63 | half: 0.97
2020/07/29 19:24:10:     Epoch 77 Loss | total: 218.26 | cycle: 1.31 | f_dist: 97.7 | g_dist: 103 | f_sup: 5.37 | g_sup: 11.4        f(x) Accuracy | 1: 0.41 | 5: 0.58 | 10: 0.66 | half: 0.98        g(y) Accuracy | 1: 0.38 | 5: 0.58 | 10: 0.64 | half: 0.98
2020/07/29 19:24:10:     Epoch 79 Loss | total: 216.92 | cycle: 1.94 | f_dist: 95.2 | g_dist: 99.9 | f_sup: 5.32 | g_sup: 14.6        f(x) Accuracy | 1: 0.43 | 5: 0.59 | 10: 0.66 | half: 0.98        g(y) Accuracy | 1: 0.41 | 5: 0.58 | 10: 0.66 | half: 0.98
2020/07/29 19:24:11:     Epoch 81 Loss | total: 212.01 | cycle: 1.74 | f_dist: 93.2 | g_dist: 98.9 | f_sup: 5.3 | g_sup: 12.9        f(x) Accuracy | 1: 0.44 | 5: 0.61 | 10: 0.68 | half: 0.99        g(y) Accuracy | 1: 0.42 | 5: 0.59 | 10: 0.67 | half: 0.98
2020/07/29 19:24:12:     Epoch 83 Loss | total: 203.09 | cycle: 1.3 | f_dist: 92.5 | g_dist: 97.6 | f_sup: 5.12 | g_sup: 6.56        f(x) Accuracy | 1: 0.45 | 5: 0.61 | 10: 0.68 | half: 0.99        g(y) Accuracy | 1: 0.42 | 5: 0.60 | 10: 0.68 | half: 0.99
