2020/07/29 19:24:31:     Epoch 1 Loss | total: 646.23 | cycle: 108 | f_dist: 237 | g_dist: 301 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.57        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.63
2020/07/29 19:24:32:     Epoch 3 Loss | total: 406.54 | cycle: 34.6 | f_dist: 175 | g_dist: 197 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.74        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.71
2020/07/29 19:24:32:     Epoch 5 Loss | total: 356.06 | cycle: 27.2 | f_dist: 160 | g_dist: 168 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.04 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.79
2020/07/29 19:24:33:     Epoch 7 Loss | total: 327.71 | cycle: 11.1 | f_dist: 156 | g_dist: 161 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.08 | half: 0.83
2020/07/29 19:24:34:     Epoch 9 Loss | total: 308.26 | cycle: 4.43 | f_dist: 151 | g_dist: 153 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.05 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.80
2020/07/29 19:24:34:     Epoch 11 Loss | total: 301.81 | cycle: 1.66 | f_dist: 147 | g_dist: 153 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.83        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.81
2020/07/29 19:24:35:     Epoch 13 Loss | total: 295.6 | cycle: 1.44 | f_dist: 145 | g_dist: 149 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.81
2020/07/29 19:24:36:     Epoch 15 Loss | total: 289.33 | cycle: 0.904 | f_dist: 143 | g_dist: 145 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.83        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.81
2020/07/29 19:24:36:     Epoch 17 Loss | total: 286.64 | cycle: 1.25 | f_dist: 141 | g_dist: 144 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.82
2020/07/29 19:24:37:     Epoch 19 Loss | total: 283.9 | cycle: 0.888 | f_dist: 140 | g_dist: 143 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.06 | half: 0.84        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.83
2020/07/29 19:24:38:     Epoch 21 Loss | total: 282.81 | cycle: 0.844 | f_dist: 140 | g_dist: 142 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.82
2020/07/29 19:24:38:     Epoch 23 Loss | total: 281.6 | cycle: 1.37 | f_dist: 140 | g_dist: 140 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.82        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.83
2020/07/29 19:24:39:     Epoch 25 Loss | total: 281.02 | cycle: 1.17 | f_dist: 140 | g_dist: 140 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.83
2020/07/29 19:24:40:     Epoch 27 Loss | total: 279.41 | cycle: 1.28 | f_dist: 139 | g_dist: 140 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.83        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.07 | half: 0.84
2020/07/29 19:24:40:     Epoch 29 Loss | total: 278.34 | cycle: 1.55 | f_dist: 138 | g_dist: 139 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.83        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.08 | half: 0.84
2020/07/29 19:24:41:     Epoch 31 Loss | total: 276.63 | cycle: 1.16 | f_dist: 137 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.82        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.07 | half: 0.86
2020/07/29 19:24:42:     Epoch 33 Loss | total: 275.53 | cycle: 1.13 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.82        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.08 | half: 0.86
2020/07/29 19:24:42:     Epoch 35 Loss | total: 274.94 | cycle: 0.849 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.82        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:43:     Epoch 37 Loss | total: 274.23 | cycle: 0.833 | f_dist: 135 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:44:     Epoch 39 Loss | total: 274.6 | cycle: 1.27 | f_dist: 135 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:44:     Epoch 41 Loss | total: 274.57 | cycle: 0.858 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:45:     Epoch 43 Loss | total: 274.21 | cycle: 0.766 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:46:     Epoch 45 Loss | total: 274.04 | cycle: 0.963 | f_dist: 135 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:46:     Epoch 47 Loss | total: 273.77 | cycle: 0.768 | f_dist: 135 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:47:     Epoch 49 Loss | total: 275.05 | cycle: 1.3 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:48:     Epoch 51 Loss | total: 274.38 | cycle: 0.795 | f_dist: 136 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:48:     Epoch 53 Loss | total: 273.64 | cycle: 0.959 | f_dist: 135 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:49:     Epoch 55 Loss | total: 274.17 | cycle: 0.697 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:50:     Epoch 57 Loss | total: 273.83 | cycle: 1.04 | f_dist: 135 | g_dist: 138 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:50:     Epoch 59 Loss | total: 273.9 | cycle: 1.29 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:51:     Epoch 61 Loss | total: 274.27 | cycle: 1.28 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.81        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:52:     Epoch 63 Loss | total: 273.61 | cycle: 0.796 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.80        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:52:     Epoch 65 Loss | total: 272.69 | cycle: 0.849 | f_dist: 135 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.80        g(y) Accuracy | 1: 0.00 | 5: 0.05 | 10: 0.08 | half: 0.86
2020/07/29 19:24:53:     Epoch 67 Loss | total: 273.79 | cycle: 1.21 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.80        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.08 | half: 0.86
2020/07/29 19:24:53:     Epoch 69 Loss | total: 273.86 | cycle: 1.29 | f_dist: 136 | g_dist: 137 | f_sup: 0 | g_sup: 0        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.80        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.08 | half: 0.86
