2020/07/29 18:16:00:     Epoch 1 Loss | total: 3.5253e+05 | cycle: 1.59e+04 | f_dist: 3.95e+04 | g_dist: 3.3e+04 | f_sup: 1.37e+05 | g_sup: 1.27e+05        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.57        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.05 | half: 0.59
2020/07/29 18:16:01:     Epoch 3 Loss | total: 2.538e+05 | cycle: 1.05e+04 | f_dist: 3.28e+04 | g_dist: 2.75e+04 | f_sup: 9.57e+04 | g_sup: 8.73e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.10 | half: 0.83        g(y) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.11 | half: 0.80
2020/07/29 18:16:01:     Epoch 5 Loss | total: 2.1321e+05 | cycle: 9.85e+03 | f_dist: 3e+04 | g_dist: 2.43e+04 | f_sup: 7.9e+04 | g_sup: 7.01e+04        f(x) Accuracy | 1: 0.06 | 5: 0.16 | 10: 0.25 | half: 0.94        g(y) Accuracy | 1: 0.04 | 5: 0.16 | 10: 0.23 | half: 0.91
2020/07/29 18:16:02:     Epoch 7 Loss | total: 1.9235e+05 | cycle: 7.9e+03 | f_dist: 2.81e+04 | g_dist: 2.28e+04 | f_sup: 7.12e+04 | g_sup: 6.23e+04        f(x) Accuracy | 1: 0.10 | 5: 0.24 | 10: 0.34 | half: 0.96        g(y) Accuracy | 1: 0.09 | 5: 0.22 | 10: 0.31 | half: 0.96
2020/07/29 18:16:03:     Epoch 9 Loss | total: 1.7971e+05 | cycle: 6.58e+03 | f_dist: 2.7e+04 | g_dist: 2.2e+04 | f_sup: 6.59e+04 | g_sup: 5.83e+04        f(x) Accuracy | 1: 0.12 | 5: 0.31 | 10: 0.40 | half: 0.97        g(y) Accuracy | 1: 0.11 | 5: 0.26 | 10: 0.36 | half: 0.97
2020/07/29 18:16:04:     Epoch 11 Loss | total: 1.7311e+05 | cycle: 6.46e+03 | f_dist: 2.63e+04 | g_dist: 2.15e+04 | f_sup: 6.3e+04 | g_sup: 5.58e+04        f(x) Accuracy | 1: 0.13 | 5: 0.33 | 10: 0.43 | half: 0.97        g(y) Accuracy | 1: 0.14 | 5: 0.29 | 10: 0.40 | half: 0.97
2020/07/29 18:16:05:     Epoch 13 Loss | total: 1.6887e+05 | cycle: 6.04e+03 | f_dist: 2.59e+04 | g_dist: 2.12e+04 | f_sup: 6.13e+04 | g_sup: 5.45e+04        f(x) Accuracy | 1: 0.14 | 5: 0.36 | 10: 0.46 | half: 0.98        g(y) Accuracy | 1: 0.13 | 5: 0.31 | 10: 0.42 | half: 0.98
2020/07/29 18:16:06:     Epoch 15 Loss | total: 1.673e+05 | cycle: 7.07e+03 | f_dist: 2.55e+04 | g_dist: 2.09e+04 | f_sup: 6.03e+04 | g_sup: 5.36e+04        f(x) Accuracy | 1: 0.15 | 5: 0.38 | 10: 0.48 | half: 0.98        g(y) Accuracy | 1: 0.14 | 5: 0.33 | 10: 0.42 | half: 0.98
2020/07/29 18:16:07:     Epoch 17 Loss | total: 1.6535e+05 | cycle: 6.73e+03 | f_dist: 2.52e+04 | g_dist: 2.08e+04 | f_sup: 5.96e+04 | g_sup: 5.3e+04        f(x) Accuracy | 1: 0.16 | 5: 0.38 | 10: 0.50 | half: 0.98        g(y) Accuracy | 1: 0.14 | 5: 0.33 | 10: 0.43 | half: 0.98
2020/07/29 18:16:07:     Epoch 19 Loss | total: 1.6278e+05 | cycle: 5.48e+03 | f_dist: 2.5e+04 | g_dist: 2.07e+04 | f_sup: 5.91e+04 | g_sup: 5.25e+04        f(x) Accuracy | 1: 0.17 | 5: 0.40 | 10: 0.50 | half: 0.98        g(y) Accuracy | 1: 0.14 | 5: 0.33 | 10: 0.44 | half: 0.99
2020/07/29 18:16:08:     Epoch 21 Loss | total: 1.6192e+05 | cycle: 6.06e+03 | f_dist: 2.49e+04 | g_dist: 2.06e+04 | f_sup: 5.85e+04 | g_sup: 5.19e+04        f(x) Accuracy | 1: 0.17 | 5: 0.41 | 10: 0.52 | half: 0.97        g(y) Accuracy | 1: 0.14 | 5: 0.33 | 10: 0.45 | half: 0.99
2020/07/29 18:16:09:     Epoch 23 Loss | total: 1.6015e+05 | cycle: 5.66e+03 | f_dist: 2.47e+04 | g_dist: 2.05e+04 | f_sup: 5.79e+04 | g_sup: 5.14e+04        f(x) Accuracy | 1: 0.17 | 5: 0.41 | 10: 0.53 | half: 0.97        g(y) Accuracy | 1: 0.15 | 5: 0.33 | 10: 0.45 | half: 0.99
