2020/08/06 07:14:05: Ceiling Accuracy 1: 1.00 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:14:12:     Epoch 35 Loss | total: 23.247 | cycle: 3.29 | f_dist: 10.6 | g_dist: 8.24 | f_sup: 0.558 | g_sup: 0.576        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:13:     Epoch 37 Loss | total: 13.027 | cycle: 1.67 | f_dist: 6.12 | g_dist: 4.53 | f_sup: 0.361 | g_sup: 0.338        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:13:     Epoch 39 Loss | total: 7.8749 | cycle: 1.1 | f_dist: 3.55 | g_dist: 2.72 | f_sup: 0.267 | g_sup: 0.232        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:14:     Epoch 41 Loss | total: 5.3491 | cycle: 0.9 | f_dist: 2.22 | g_dist: 1.84 | f_sup: 0.202 | g_sup: 0.181        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:14:     Epoch 43 Loss | total: 4.1613 | cycle: 0.815 | f_dist: 1.6 | g_dist: 1.42 | f_sup: 0.162 | g_sup: 0.158        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:15:     Epoch 45 Loss | total: 3.598 | cycle: 0.757 | f_dist: 1.32 | g_dist: 1.23 | f_sup: 0.142 | g_sup: 0.144        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:15:     Epoch 47 Loss | total: 3.4113 | cycle: 0.789 | f_dist: 1.2 | g_dist: 1.14 | f_sup: 0.14 | g_sup: 0.14        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:16:     Epoch 49 Loss | total: 3.3474 | cycle: 0.805 | f_dist: 1.15 | g_dist: 1.1 | f_sup: 0.151 | g_sup: 0.142        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:16:     Epoch 51 Loss | total: 3.3025 | cycle: 0.744 | f_dist: 1.12 | g_dist: 1.09 | f_sup: 0.197 | g_sup: 0.15        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:14:16:     Epoch 53 Loss | total: 3.5558 | cycle: 0.797 | f_dist: 1.12 | g_dist: 1.09 | f_sup: 0.379 | g_sup: 0.173        f(x) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 1.00 | 5: 1.00 | 10: 1.00 | half: 1.00
