2020/08/06 07:15:41: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:15:41:     Epoch 1 Loss | total: 1474.8 | cycle: 116 | f_dist: 117 | g_dist: 177 | f_sup: 527 | g_sup: 537        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.63        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.64
2020/08/06 07:15:41:     Epoch 3 Loss | total: 248.56 | cycle: 48.5 | f_dist: 9.93 | g_dist: 21.1 | f_sup: 91.6 | g_sup: 77.3        f(x) Accuracy | 1: 0.05 | 5: 0.33 | 10: 0.70 | half: 1.00        g(y) Accuracy | 1: 0.08 | 5: 0.43 | 10: 0.74 | half: 1.00
2020/08/06 07:15:42:     Epoch 5 Loss | total: 100.51 | cycle: 36.1 | f_dist: 4.46 | g_dist: 4.56 | f_sup: 26.3 | g_sup: 29.1        f(x) Accuracy | 1: 0.18 | 5: 0.79 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.18 | 5: 0.70 | 10: 0.99 | half: 1.00
2020/08/06 07:15:42:     Epoch 7 Loss | total: 71.837 | cycle: 10.5 | f_dist: 6.79 | g_dist: 5.72 | f_sup: 24.8 | g_sup: 24        f(x) Accuracy | 1: 0.21 | 5: 0.81 | 10: 0.98 | half: 1.00        g(y) Accuracy | 1: 0.37 | 5: 0.89 | 10: 0.98 | half: 1.00
2020/08/06 07:15:42:     Epoch 9 Loss | total: 19.942 | cycle: 4.92 | f_dist: 3.27 | g_dist: 2.91 | f_sup: 5.45 | g_sup: 3.39        f(x) Accuracy | 1: 0.54 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.47 | 5: 0.99 | 10: 1.00 | half: 1.00
2020/08/06 07:15:42:     Epoch 11 Loss | total: 15.379 | cycle: 1.87 | f_dist: 2.17 | g_dist: 1.69 | f_sup: 5.4 | g_sup: 4.25        f(x) Accuracy | 1: 0.69 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.84 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 13 Loss | total: 8.808 | cycle: 1.09 | f_dist: 1.58 | g_dist: 1.24 | f_sup: 2.21 | g_sup: 2.69        f(x) Accuracy | 1: 0.74 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.84 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 15 Loss | total: 2.2185 | cycle: 0.45 | f_dist: 0.455 | g_dist: 0.38 | f_sup: 0.519 | g_sup: 0.414        f(x) Accuracy | 1: 0.95 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.92 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 17 Loss | total: 2.4384 | cycle: 0.314 | f_dist: 0.364 | g_dist: 0.34 | f_sup: 0.967 | g_sup: 0.453        f(x) Accuracy | 1: 0.95 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.95 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 19 Loss | total: 2.1542 | cycle: 0.358 | f_dist: 0.395 | g_dist: 0.276 | f_sup: 0.519 | g_sup: 0.606        f(x) Accuracy | 1: 0.94 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.96 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 21 Loss | total: 1.4868 | cycle: 0.423 | f_dist: 0.267 | g_dist: 0.246 | f_sup: 0.333 | g_sup: 0.219        f(x) Accuracy | 1: 0.97 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.95 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:43:     Epoch 23 Loss | total: 1.496 | cycle: 0.28 | f_dist: 0.236 | g_dist: 0.214 | f_sup: 0.475 | g_sup: 0.291        f(x) Accuracy | 1: 0.97 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.97 | 5: 1.00 | 10: 1.00 | half: 1.00
2020/08/06 07:15:44:     Epoch 25 Loss | total: 1.3719 | cycle: 0.327 | f_dist: 0.266 | g_dist: 0.213 | f_sup: 0.326 | g_sup: 0.239        f(x) Accuracy | 1: 0.97 | 5: 1.00 | 10: 1.00 | half: 1.00        g(y) Accuracy | 1: 0.96 | 5: 1.00 | 10: 1.00 | half: 1.00
