2020/08/06 07:15:15: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:15:19:     Epoch 37 Loss | total: 524.54 | cycle: 43 | f_dist: 68.2 | g_dist: 68.6 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:19:     Epoch 39 Loss | total: 528.66 | cycle: 47.6 | f_dist: 68.4 | g_dist: 68.6 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:19:     Epoch 41 Loss | total: 532.42 | cycle: 51.7 | f_dist: 68.1 | g_dist: 68.8 | f_sup: 172 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 43 Loss | total: 537.78 | cycle: 57.4 | f_dist: 68.2 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 45 Loss | total: 527.05 | cycle: 46.8 | f_dist: 68.1 | g_dist: 68.5 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:20:     Epoch 47 Loss | total: 524.78 | cycle: 44.8 | f_dist: 67.9 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 49 Loss | total: 528.23 | cycle: 48.8 | f_dist: 68.3 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:20:     Epoch 51 Loss | total: 532.02 | cycle: 53 | f_dist: 68.2 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:21:     Epoch 53 Loss | total: 532.09 | cycle: 53.1 | f_dist: 67.8 | g_dist: 68.5 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:21:     Epoch 55 Loss | total: 528.52 | cycle: 49.9 | f_dist: 67.9 | g_dist: 68.6 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:21:     Epoch 57 Loss | total: 528.53 | cycle: 50.1 | f_dist: 67.9 | g_dist: 68.6 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:21:     Epoch 59 Loss | total: 525.11 | cycle: 47 | f_dist: 68.1 | g_dist: 68.4 | f_sup: 170 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:21:     Epoch 61 Loss | total: 521.86 | cycle: 43.9 | f_dist: 67.7 | g_dist: 68.6 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:22:     Epoch 63 Loss | total: 525.06 | cycle: 47.4 | f_dist: 67.8 | g_dist: 68.7 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:22:     Epoch 65 Loss | total: 524.93 | cycle: 47.6 | f_dist: 67.9 | g_dist: 68.5 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:22:     Epoch 67 Loss | total: 528.55 | cycle: 51.4 | f_dist: 67.6 | g_dist: 68.5 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:22:     Epoch 69 Loss | total: 528.18 | cycle: 51.4 | f_dist: 67.9 | g_dist: 68.5 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:22:     Epoch 71 Loss | total: 529.63 | cycle: 53 | f_dist: 67.9 | g_dist: 68.3 | f_sup: 169 | g_sup: 171        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:23:     Epoch 73 Loss | total: 526.89 | cycle: 50.5 | f_dist: 67.6 | g_dist: 68.4 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:23:     Epoch 75 Loss | total: 527.16 | cycle: 50.8 | f_dist: 67.5 | g_dist: 68.5 | f_sup: 170 | g_sup: 171        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.24 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:23:     Epoch 77 Loss | total: 526.93 | cycle: 50.8 | f_dist: 67.8 | g_dist: 68.3 | f_sup: 169 | g_sup: 171        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
