2020/07/30 06:11:27:     Epoch 33 Loss | total: 3.5283e+05 | cycle: 2.21e+04 | f_dist: 6.3e+04 | g_dist: 5.25e+04 | f_sup: 1.22e+05 | g_sup: 9.31e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.13 | half: 0.82
2020/07/30 06:11:28:     Epoch 35 Loss | total: 3.5044e+05 | cycle: 2.12e+04 | f_dist: 6.28e+04 | g_dist: 5.23e+04 | f_sup: 1.22e+05 | g_sup: 9.25e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.13 | half: 0.82
2020/07/30 06:11:29:     Epoch 37 Loss | total: 3.5341e+05 | cycle: 2.31e+04 | f_dist: 6.26e+04 | g_dist: 5.23e+04 | f_sup: 1.22e+05 | g_sup: 9.37e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.10 | half: 0.80        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.81
2020/07/30 06:11:30:     Epoch 39 Loss | total: 3.5251e+05 | cycle: 2.26e+04 | f_dist: 6.26e+04 | g_dist: 5.26e+04 | f_sup: 1.21e+05 | g_sup: 9.42e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.13 | half: 0.83
2020/07/30 06:11:31:     Epoch 41 Loss | total: 3.4142e+05 | cycle: 2.03e+04 | f_dist: 6.2e+04 | g_dist: 5.17e+04 | f_sup: 1.18e+05 | g_sup: 8.94e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.80        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.83
2020/07/30 06:11:32:     Epoch 43 Loss | total: 3.4022e+05 | cycle: 2.25e+04 | f_dist: 6.17e+04 | g_dist: 5.15e+04 | f_sup: 1.16e+05 | g_sup: 8.84e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.83
2020/07/30 06:11:33:     Epoch 45 Loss | total: 3.352e+05 | cycle: 1.97e+04 | f_dist: 6.16e+04 | g_dist: 5.12e+04 | f_sup: 1.15e+05 | g_sup: 8.74e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.84
2020/07/30 06:11:34:     Epoch 47 Loss | total: 3.3939e+05 | cycle: 2.4e+04 | f_dist: 6.16e+04 | g_dist: 5.09e+04 | f_sup: 1.16e+05 | g_sup: 8.7e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.09 | 10: 0.14 | half: 0.84
2020/07/30 06:11:36:     Epoch 49 Loss | total: 3.3782e+05 | cycle: 1.94e+04 | f_dist: 6.21e+04 | g_dist: 5.08e+04 | f_sup: 1.17e+05 | g_sup: 8.8e+04        f(x) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.10 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.09 | 10: 0.14 | half: 0.83
2020/07/30 06:11:37:     Epoch 51 Loss | total: 3.3624e+05 | cycle: 2.19e+04 | f_dist: 6.18e+04 | g_dist: 5.08e+04 | f_sup: 1.15e+05 | g_sup: 8.7e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.10 | half: 0.81        g(y) Accuracy | 1: 0.04 | 5: 0.09 | 10: 0.15 | half: 0.83
