2020/07/30 06:56:03:     Epoch 1 Loss | total: 12931 | cycle: 860 | f_dist: 2.15e+03 | g_dist: 1.75e+03 | f_sup: 4.29e+03 | g_sup: 3.89e+03        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.51        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.49
2020/07/30 06:56:04:     Epoch 3 Loss | total: 8303.2 | cycle: 582 | f_dist: 1.94e+03 | g_dist: 1.59e+03 | f_sup: 2.39e+03 | g_sup: 1.8e+03        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.04 | half: 0.60        g(y) Accuracy | 1: 0.02 | 5: 0.04 | 10: 0.06 | half: 0.64
2020/07/30 06:56:06:     Epoch 5 Loss | total: 6228.8 | cycle: 448 | f_dist: 1.77e+03 | g_dist: 1.49e+03 | f_sup: 1.51e+03 | g_sup: 1.01e+03        f(x) Accuracy | 1: 0.03 | 5: 0.06 | 10: 0.09 | half: 0.67        g(y) Accuracy | 1: 0.04 | 5: 0.08 | 10: 0.10 | half: 0.72
2020/07/30 06:56:07:     Epoch 7 Loss | total: 5038 | cycle: 347 | f_dist: 1.67e+03 | g_dist: 1.43e+03 | f_sup: 953 | g_sup: 635        f(x) Accuracy | 1: 0.04 | 5: 0.08 | 10: 0.14 | half: 0.71        g(y) Accuracy | 1: 0.05 | 5: 0.09 | 10: 0.13 | half: 0.73
2020/07/30 06:56:09:     Epoch 9 Loss | total: 4376.6 | cycle: 303 | f_dist: 1.6e+03 | g_dist: 1.4e+03 | f_sup: 632 | g_sup: 439        f(x) Accuracy | 1: 0.05 | 5: 0.10 | 10: 0.15 | half: 0.71        g(y) Accuracy | 1: 0.06 | 5: 0.09 | 10: 0.14 | half: 0.72
2020/07/30 06:56:10:     Epoch 11 Loss | total: 3972.6 | cycle: 262 | f_dist: 1.57e+03 | g_dist: 1.38e+03 | f_sup: 431 | g_sup: 327        f(x) Accuracy | 1: 0.06 | 5: 0.09 | 10: 0.16 | half: 0.72        g(y) Accuracy | 1: 0.07 | 5: 0.09 | 10: 0.14 | half: 0.73
2020/07/30 06:56:12:     Epoch 13 Loss | total: 3731.3 | cycle: 249 | f_dist: 1.54e+03 | g_dist: 1.36e+03 | f_sup: 312 | g_sup: 263        f(x) Accuracy | 1: 0.05 | 5: 0.10 | 10: 0.15 | half: 0.72        g(y) Accuracy | 1: 0.07 | 5: 0.10 | 10: 0.14 | half: 0.72
2020/07/30 06:56:13:     Epoch 15 Loss | total: 3564.8 | cycle: 204 | f_dist: 1.52e+03 | g_dist: 1.35e+03 | f_sup: 251 | g_sup: 238        f(x) Accuracy | 1: 0.05 | 5: 0.10 | 10: 0.16 | half: 0.72        g(y) Accuracy | 1: 0.07 | 5: 0.10 | 10: 0.15 | half: 0.72
2020/07/30 06:56:15:     Epoch 17 Loss | total: 3442.2 | cycle: 181 | f_dist: 1.49e+03 | g_dist: 1.34e+03 | f_sup: 211 | g_sup: 212        f(x) Accuracy | 1: 0.05 | 5: 0.10 | 10: 0.15 | half: 0.72        g(y) Accuracy | 1: 0.06 | 5: 0.11 | 10: 0.15 | half: 0.71
2020/07/30 06:56:16:     Epoch 19 Loss | total: 3277.2 | cycle: 147 | f_dist: 1.47e+03 | g_dist: 1.33e+03 | f_sup: 168 | g_sup: 161        f(x) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.15 | half: 0.72        g(y) Accuracy | 1: 0.06 | 5: 0.11 | 10: 0.14 | half: 0.70
2020/07/30 06:56:18:     Epoch 21 Loss | total: 3185.7 | cycle: 132 | f_dist: 1.46e+03 | g_dist: 1.32e+03 | f_sup: 141 | g_sup: 134        f(x) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.14 | half: 0.72        g(y) Accuracy | 1: 0.06 | 5: 0.10 | 10: 0.14 | half: 0.70
