2020/07/29 19:27:07:     Epoch 1 Loss | total: 1.7948e+05 | cycle: 6.69e+03 | f_dist: 1.99e+04 | g_dist: 1.63e+04 | f_sup: 7.05e+04 | g_sup: 6.61e+04        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.53        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.51
2020/07/29 19:27:15:     Epoch 3 Loss | total: 69502 | cycle: 4.47e+03 | f_dist: 8.74e+03 | g_dist: 7.92e+03 | f_sup: 2.44e+04 | g_sup: 2.4e+04        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.09 | half: 0.77        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.76
2020/07/29 19:27:16:     Epoch 5 Loss | total: 62062 | cycle: 3.05e+03 | f_dist: 8.58e+03 | g_dist: 7.6e+03 | f_sup: 2.25e+04 | g_sup: 2.03e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.13 | half: 0.79        g(y) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.11 | half: 0.83
2020/07/29 19:27:16:     Epoch 7 Loss | total: 59563 | cycle: 5.16e+03 | f_dist: 7.94e+03 | g_dist: 7.16e+03 | f_sup: 2.06e+04 | g_sup: 1.87e+04        f(x) Accuracy | 1: 0.02 | 5: 0.12 | 10: 0.18 | half: 0.80        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.17 | half: 0.83
2020/07/29 19:27:17:     Epoch 9 Loss | total: 54721 | cycle: 3.17e+03 | f_dist: 7.6e+03 | g_dist: 6.94e+03 | f_sup: 1.93e+04 | g_sup: 1.77e+04        f(x) Accuracy | 1: 0.04 | 5: 0.14 | 10: 0.21 | half: 0.82        g(y) Accuracy | 1: 0.03 | 5: 0.13 | 10: 0.21 | half: 0.85
2020/07/29 19:27:18:     Epoch 11 Loss | total: 53410 | cycle: 3.99e+03 | f_dist: 7.36e+03 | g_dist: 6.78e+03 | f_sup: 1.83e+04 | g_sup: 1.7e+04        f(x) Accuracy | 1: 0.05 | 5: 0.16 | 10: 0.23 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.15 | 10: 0.22 | half: 0.86
2020/07/29 19:27:18:     Epoch 13 Loss | total: 50591 | cycle: 2.6e+03 | f_dist: 7.2e+03 | g_dist: 6.64e+03 | f_sup: 1.77e+04 | g_sup: 1.65e+04        f(x) Accuracy | 1: 0.05 | 5: 0.17 | 10: 0.25 | half: 0.85        g(y) Accuracy | 1: 0.07 | 5: 0.17 | 10: 0.24 | half: 0.86
2020/07/29 19:27:19:     Epoch 15 Loss | total: 50717 | cycle: 3.58e+03 | f_dist: 7.1e+03 | g_dist: 6.55e+03 | f_sup: 1.74e+04 | g_sup: 1.61e+04        f(x) Accuracy | 1: 0.06 | 5: 0.17 | 10: 0.27 | half: 0.86        g(y) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.25 | half: 0.87
2020/07/29 19:27:20:     Epoch 17 Loss | total: 49826 | cycle: 3.26e+03 | f_dist: 7.04e+03 | g_dist: 6.47e+03 | f_sup: 1.72e+04 | g_sup: 1.58e+04        f(x) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.27 | half: 0.87        g(y) Accuracy | 1: 0.07 | 5: 0.19 | 10: 0.26 | half: 0.87
2020/07/29 19:27:21:     Epoch 19 Loss | total: 49434 | cycle: 3.26e+03 | f_dist: 6.98e+03 | g_dist: 6.41e+03 | f_sup: 1.71e+04 | g_sup: 1.56e+04        f(x) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.28 | half: 0.87        g(y) Accuracy | 1: 0.08 | 5: 0.19 | 10: 0.28 | half: 0.87
2020/07/29 19:27:21:     Epoch 21 Loss | total: 48535 | cycle: 2.61e+03 | f_dist: 6.95e+03 | g_dist: 6.36e+03 | f_sup: 1.71e+04 | g_sup: 1.55e+04        f(x) Accuracy | 1: 0.06 | 5: 0.20 | 10: 0.29 | half: 0.87        g(y) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.29 | half: 0.87
2020/07/29 19:27:22:     Epoch 23 Loss | total: 49199 | cycle: 3.5e+03 | f_dist: 6.92e+03 | g_dist: 6.32e+03 | f_sup: 1.7e+04 | g_sup: 1.54e+04        f(x) Accuracy | 1: 0.06 | 5: 0.21 | 10: 0.29 | half: 0.87        g(y) Accuracy | 1: 0.09 | 5: 0.19 | 10: 0.29 | half: 0.88
2020/07/29 19:27:23:     Epoch 25 Loss | total: 49492 | cycle: 3.9e+03 | f_dist: 6.9e+03 | g_dist: 6.29e+03 | f_sup: 1.69e+04 | g_sup: 1.55e+04        f(x) Accuracy | 1: 0.06 | 5: 0.21 | 10: 0.29 | half: 0.87        g(y) Accuracy | 1: 0.09 | 5: 0.19 | 10: 0.28 | half: 0.88
2020/07/29 19:27:23:     Epoch 27 Loss | total: 48436 | cycle: 2.95e+03 | f_dist: 6.88e+03 | g_dist: 6.27e+03 | f_sup: 1.69e+04 | g_sup: 1.54e+04        f(x) Accuracy | 1: 0.06 | 5: 0.21 | 10: 0.29 | half: 0.87        g(y) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.28 | half: 0.88
2020/07/29 19:27:24:     Epoch 29 Loss | total: 48626 | cycle: 3.23e+03 | f_dist: 6.86e+03 | g_dist: 6.25e+03 | f_sup: 1.69e+04 | g_sup: 1.54e+04        f(x) Accuracy | 1: 0.07 | 5: 0.22 | 10: 0.30 | half: 0.87        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.29 | half: 0.88
2020/07/29 19:27:25:     Epoch 31 Loss | total: 47849 | cycle: 2.52e+03 | f_dist: 6.85e+03 | g_dist: 6.23e+03 | f_sup: 1.68e+04 | g_sup: 1.54e+04        f(x) Accuracy | 1: 0.07 | 5: 0.21 | 10: 0.30 | half: 0.87        g(y) Accuracy | 1: 0.09 | 5: 0.21 | 10: 0.29 | half: 0.88
2020/07/29 19:27:25:     Epoch 33 Loss | total: 48532 | cycle: 3.31e+03 | f_dist: 6.83e+03 | g_dist: 6.22e+03 | f_sup: 1.68e+04 | g_sup: 1.54e+04        f(x) Accuracy | 1: 0.07 | 5: 0.22 | 10: 0.30 | half: 0.87        g(y) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.30 | half: 0.88
