2020/07/30 06:58:21:     Epoch 1 Loss | total: 11803 | cycle: 783 | f_dist: 2.09e+03 | g_dist: 1.76e+03 | f_sup: 3.51e+03 | g_sup: 3.67e+03        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.54        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.53
2020/07/30 06:58:22:     Epoch 3 Loss | total: 8578.5 | cycle: 536 | f_dist: 1.82e+03 | g_dist: 1.54e+03 | f_sup: 2.45e+03 | g_sup: 2.23e+03        f(x) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.06 | half: 0.68        g(y) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.08 | half: 0.73
2020/07/30 06:58:24:     Epoch 5 Loss | total: 7057.9 | cycle: 425 | f_dist: 1.64e+03 | g_dist: 1.4e+03 | f_sup: 1.93e+03 | g_sup: 1.66e+03        f(x) Accuracy | 1: 0.03 | 5: 0.10 | 10: 0.14 | half: 0.80        g(y) Accuracy | 1: 0.03 | 5: 0.11 | 10: 0.19 | half: 0.86
2020/07/30 06:58:25:     Epoch 7 Loss | total: 6175.8 | cycle: 344 | f_dist: 1.54e+03 | g_dist: 1.3e+03 | f_sup: 1.62e+03 | g_sup: 1.36e+03        f(x) Accuracy | 1: 0.04 | 5: 0.15 | 10: 0.24 | half: 0.85        g(y) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.27 | half: 0.90
2020/07/30 06:58:27:     Epoch 9 Loss | total: 5637 | cycle: 312 | f_dist: 1.47e+03 | g_dist: 1.25e+03 | f_sup: 1.41e+03 | g_sup: 1.19e+03        f(x) Accuracy | 1: 0.06 | 5: 0.20 | 10: 0.29 | half: 0.88        g(y) Accuracy | 1: 0.08 | 5: 0.25 | 10: 0.32 | half: 0.91
2020/07/30 06:58:29:     Epoch 11 Loss | total: 5276.3 | cycle: 275 | f_dist: 1.42e+03 | g_dist: 1.23e+03 | f_sup: 1.28e+03 | g_sup: 1.08e+03        f(x) Accuracy | 1: 0.08 | 5: 0.25 | 10: 0.34 | half: 0.89        g(y) Accuracy | 1: 0.10 | 5: 0.29 | 10: 0.37 | half: 0.93
2020/07/30 06:58:30:     Epoch 13 Loss | total: 5037.7 | cycle: 238 | f_dist: 1.38e+03 | g_dist: 1.23e+03 | f_sup: 1.19e+03 | g_sup: 1e+03        f(x) Accuracy | 1: 0.11 | 5: 0.27 | 10: 0.37 | half: 0.90        g(y) Accuracy | 1: 0.14 | 5: 0.31 | 10: 0.40 | half: 0.93
2020/07/30 06:58:32:     Epoch 15 Loss | total: 4793 | cycle: 210 | f_dist: 1.35e+03 | g_dist: 1.21e+03 | f_sup: 1.1e+03 | g_sup: 928        f(x) Accuracy | 1: 0.12 | 5: 0.29 | 10: 0.40 | half: 0.92        g(y) Accuracy | 1: 0.16 | 5: 0.31 | 10: 0.41 | half: 0.94
2020/07/30 06:58:33:     Epoch 17 Loss | total: 4597.5 | cycle: 177 | f_dist: 1.33e+03 | g_dist: 1.19e+03 | f_sup: 1.03e+03 | g_sup: 871        f(x) Accuracy | 1: 0.14 | 5: 0.32 | 10: 0.41 | half: 0.93        g(y) Accuracy | 1: 0.15 | 5: 0.31 | 10: 0.43 | half: 0.94
2020/07/30 06:58:35:     Epoch 19 Loss | total: 4494.1 | cycle: 182 | f_dist: 1.31e+03 | g_dist: 1.18e+03 | f_sup: 986 | g_sup: 832        f(x) Accuracy | 1: 0.15 | 5: 0.33 | 10: 0.41 | half: 0.93        g(y) Accuracy | 1: 0.15 | 5: 0.32 | 10: 0.44 | half: 0.95
2020/07/30 06:58:36:     Epoch 21 Loss | total: 4377.8 | cycle: 147 | f_dist: 1.3e+03 | g_dist: 1.18e+03 | f_sup: 953 | g_sup: 801        f(x) Accuracy | 1: 0.17 | 5: 0.34 | 10: 0.41 | half: 0.92        g(y) Accuracy | 1: 0.17 | 5: 0.34 | 10: 0.45 | half: 0.95
