2020/07/29 19:25:57:     Epoch 1 Loss | total: 1.3757e+05 | cycle: 5.46e+03 | f_dist: 1.59e+04 | g_dist: 1.3e+04 | f_sup: 5.44e+04 | g_sup: 4.88e+04        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.52        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.05 | half: 0.52
2020/07/29 19:25:58:     Epoch 3 Loss | total: 52882 | cycle: 4.78e+03 | f_dist: 8.83e+03 | g_dist: 7.98e+03 | f_sup: 1.57e+04 | g_sup: 1.56e+04        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.08 | half: 0.72        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.74
2020/07/29 19:25:58:     Epoch 5 Loss | total: 43467 | cycle: 3.64e+03 | f_dist: 8.4e+03 | g_dist: 7.64e+03 | f_sup: 1.12e+04 | g_sup: 1.26e+04        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.13 | half: 0.73        g(y) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.10 | half: 0.74
2020/07/29 19:25:59:     Epoch 7 Loss | total: 37885 | cycle: 3.21e+03 | f_dist: 7.81e+03 | g_dist: 7.32e+03 | f_sup: 8.72e+03 | g_sup: 1.08e+04        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.12 | half: 0.71        g(y) Accuracy | 1: 0.01 | 5: 0.08 | 10: 0.14 | half: 0.72
2020/07/29 19:26:00:     Epoch 9 Loss | total: 36916 | cycle: 4.26e+03 | f_dist: 7.59e+03 | g_dist: 7.15e+03 | f_sup: 7.97e+03 | g_sup: 9.94e+03        f(x) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.12 | half: 0.70        g(y) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.15 | half: 0.73
2020/07/29 19:26:01:     Epoch 11 Loss | total: 34280 | cycle: 3.12e+03 | f_dist: 7.48e+03 | g_dist: 7.06e+03 | f_sup: 7.22e+03 | g_sup: 9.4e+03        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.14 | half: 0.69        g(y) Accuracy | 1: 0.03 | 5: 0.10 | 10: 0.15 | half: 0.73
2020/07/29 19:26:02:     Epoch 13 Loss | total: 33660 | cycle: 3.52e+03 | f_dist: 7.4e+03 | g_dist: 6.97e+03 | f_sup: 6.75e+03 | g_sup: 9.02e+03        f(x) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.13 | half: 0.69        g(y) Accuracy | 1: 0.03 | 5: 0.10 | 10: 0.17 | half: 0.72
2020/07/29 19:26:02:     Epoch 15 Loss | total: 32216 | cycle: 2.89e+03 | f_dist: 7.32e+03 | g_dist: 6.87e+03 | f_sup: 6.36e+03 | g_sup: 8.78e+03        f(x) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.14 | half: 0.70        g(y) Accuracy | 1: 0.03 | 5: 0.10 | 10: 0.17 | half: 0.73
2020/07/29 19:26:03:     Epoch 17 Loss | total: 31335 | cycle: 2.52e+03 | f_dist: 7.25e+03 | g_dist: 6.78e+03 | f_sup: 6.13e+03 | g_sup: 8.66e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.70        g(y) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.17 | half: 0.73
2020/07/29 19:26:04:     Epoch 19 Loss | total: 31468 | cycle: 2.95e+03 | f_dist: 7.2e+03 | g_dist: 6.7e+03 | f_sup: 5.99e+03 | g_sup: 8.63e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.71        g(y) Accuracy | 1: 0.04 | 5: 0.13 | 10: 0.18 | half: 0.74
2020/07/29 19:26:04:     Epoch 21 Loss | total: 31178 | cycle: 2.6e+03 | f_dist: 7.17e+03 | g_dist: 6.61e+03 | f_sup: 5.91e+03 | g_sup: 8.89e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.72        g(y) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.18 | half: 0.75
2020/07/29 19:26:05:     Epoch 23 Loss | total: 31923 | cycle: 3.05e+03 | f_dist: 7.16e+03 | g_dist: 6.56e+03 | f_sup: 5.91e+03 | g_sup: 9.24e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.72        g(y) Accuracy | 1: 0.04 | 5: 0.13 | 10: 0.18 | half: 0.75
2020/07/29 19:26:06:     Epoch 25 Loss | total: 32308 | cycle: 3.55e+03 | f_dist: 7.16e+03 | g_dist: 6.56e+03 | f_sup: 6.15e+03 | g_sup: 8.89e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.71        g(y) Accuracy | 1: 0.03 | 5: 0.14 | 10: 0.19 | half: 0.75
2020/07/29 19:26:07:     Epoch 27 Loss | total: 31083 | cycle: 2.63e+03 | f_dist: 7.15e+03 | g_dist: 6.55e+03 | f_sup: 6.15e+03 | g_sup: 8.61e+03        f(x) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.15 | half: 0.71        g(y) Accuracy | 1: 0.03 | 5: 0.14 | 10: 0.20 | half: 0.75
2020/07/29 19:26:08:     Epoch 29 Loss | total: 30202 | cycle: 2.32e+03 | f_dist: 7.13e+03 | g_dist: 6.54e+03 | f_sup: 5.84e+03 | g_sup: 8.38e+03        f(x) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.14 | half: 0.71        g(y) Accuracy | 1: 0.03 | 5: 0.13 | 10: 0.20 | half: 0.74
2020/07/29 19:26:09:     Epoch 31 Loss | total: 30660 | cycle: 3e+03 | f_dist: 7.11e+03 | g_dist: 6.52e+03 | f_sup: 5.75e+03 | g_sup: 8.28e+03        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.70        g(y) Accuracy | 1: 0.04 | 5: 0.14 | 10: 0.20 | half: 0.73
