2020/07/29 19:19:08:     Epoch 1 Loss | total: 2.3793e+05 | cycle: 5.26e+03 | f_dist: 2.29e+04 | g_dist: 2.06e+04 | f_sup: 9.53e+04 | g_sup: 9.39e+04        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.52        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.52
2020/07/29 19:19:08:     Epoch 3 Loss | total: 76323 | cycle: 4.52e+03 | f_dist: 8.79e+03 | g_dist: 8.16e+03 | f_sup: 3.09e+04 | g_sup: 2.39e+04        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.72        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.07 | half: 0.77
2020/07/29 19:19:09:     Epoch 5 Loss | total: 66647 | cycle: 4.54e+03 | f_dist: 8.74e+03 | g_dist: 8.01e+03 | f_sup: 2.37e+04 | g_sup: 2.17e+04        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.11 | half: 0.79        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.09 | half: 0.83
2020/07/29 19:19:10:     Epoch 7 Loss | total: 60673 | cycle: 4.15e+03 | f_dist: 8e+03 | g_dist: 7.32e+03 | f_sup: 2.15e+04 | g_sup: 1.97e+04        f(x) Accuracy | 1: 0.01 | 5: 0.09 | 10: 0.14 | half: 0.79        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.17 | half: 0.83
2020/07/29 19:19:10:     Epoch 9 Loss | total: 57721 | cycle: 4.03e+03 | f_dist: 7.58e+03 | g_dist: 7.1e+03 | f_sup: 2.05e+04 | g_sup: 1.86e+04        f(x) Accuracy | 1: 0.03 | 5: 0.10 | 10: 0.17 | half: 0.79        g(y) Accuracy | 1: 0.03 | 5: 0.14 | 10: 0.21 | half: 0.84
2020/07/29 19:19:11:     Epoch 11 Loss | total: 54449 | cycle: 3.4e+03 | f_dist: 7.5e+03 | g_dist: 6.9e+03 | f_sup: 1.92e+04 | g_sup: 1.74e+04        f(x) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.20 | half: 0.80        g(y) Accuracy | 1: 0.04 | 5: 0.14 | 10: 0.24 | half: 0.84
2020/07/29 19:19:12:     Epoch 13 Loss | total: 52590 | cycle: 3.31e+03 | f_dist: 7.34e+03 | g_dist: 6.73e+03 | f_sup: 1.84e+04 | g_sup: 1.68e+04        f(x) Accuracy | 1: 0.04 | 5: 0.14 | 10: 0.21 | half: 0.82        g(y) Accuracy | 1: 0.06 | 5: 0.18 | 10: 0.25 | half: 0.84
2020/07/29 19:19:12:     Epoch 15 Loss | total: 50932 | cycle: 2.53e+03 | f_dist: 7.24e+03 | g_dist: 6.62e+03 | f_sup: 1.81e+04 | g_sup: 1.65e+04        f(x) Accuracy | 1: 0.05 | 5: 0.15 | 10: 0.22 | half: 0.82        g(y) Accuracy | 1: 0.05 | 5: 0.18 | 10: 0.25 | half: 0.85
2020/07/29 19:19:13:     Epoch 17 Loss | total: 50855 | cycle: 3.06e+03 | f_dist: 7.17e+03 | g_dist: 6.54e+03 | f_sup: 1.79e+04 | g_sup: 1.62e+04        f(x) Accuracy | 1: 0.05 | 5: 0.16 | 10: 0.23 | half: 0.83        g(y) Accuracy | 1: 0.05 | 5: 0.17 | 10: 0.27 | half: 0.85
2020/07/29 19:19:14:     Epoch 19 Loss | total: 52257 | cycle: 4.89e+03 | f_dist: 7.11e+03 | g_dist: 6.47e+03 | f_sup: 1.77e+04 | g_sup: 1.61e+04        f(x) Accuracy | 1: 0.05 | 5: 0.17 | 10: 0.23 | half: 0.83        g(y) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.27 | half: 0.85
2020/07/29 19:19:14:     Epoch 21 Loss | total: 49945 | cycle: 2.82e+03 | f_dist: 7.05e+03 | g_dist: 6.44e+03 | f_sup: 1.76e+04 | g_sup: 1.6e+04        f(x) Accuracy | 1: 0.05 | 5: 0.16 | 10: 0.22 | half: 0.83        g(y) Accuracy | 1: 0.06 | 5: 0.19 | 10: 0.28 | half: 0.85
2020/07/29 19:19:15:     Epoch 23 Loss | total: 50279 | cycle: 3.43e+03 | f_dist: 6.99e+03 | g_dist: 6.41e+03 | f_sup: 1.75e+04 | g_sup: 1.59e+04        f(x) Accuracy | 1: 0.06 | 5: 0.15 | 10: 0.23 | half: 0.84        g(y) Accuracy | 1: 0.06 | 5: 0.20 | 10: 0.28 | half: 0.85
