2020/07/29 20:02:34:     Epoch 1 Loss | total: 4.0658e+05 | cycle: 1.87e+04 | f_dist: 4.79e+04 | g_dist: 3.76e+04 | f_sup: 1.64e+05 | g_sup: 1.38e+05        f(x) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.49        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.53
2020/07/29 20:02:34:     Epoch 3 Loss | total: 3.3461e+05 | cycle: 1.29e+04 | f_dist: 4.03e+04 | g_dist: 3.2e+04 | f_sup: 1.35e+05 | g_sup: 1.15e+05        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.62        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.67
2020/07/29 20:02:35:     Epoch 5 Loss | total: 3.0497e+05 | cycle: 1.22e+04 | f_dist: 3.85e+04 | g_dist: 3.01e+04 | f_sup: 1.21e+05 | g_sup: 1.03e+05        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.71        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.75
2020/07/29 20:02:36:     Epoch 7 Loss | total: 2.8809e+05 | cycle: 1.03e+04 | f_dist: 3.73e+04 | g_dist: 2.91e+04 | f_sup: 1.14e+05 | g_sup: 9.71e+04        f(x) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.09 | half: 0.74        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.07 | half: 0.78
2020/07/29 20:02:37:     Epoch 9 Loss | total: 2.7789e+05 | cycle: 9.58e+03 | f_dist: 3.66e+04 | g_dist: 2.85e+04 | f_sup: 1.1e+05 | g_sup: 9.3e+04        f(x) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.10 | half: 0.75        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.08 | half: 0.77
2020/07/29 20:02:38:     Epoch 11 Loss | total: 2.7151e+05 | cycle: 8.78e+03 | f_dist: 3.62e+04 | g_dist: 2.81e+04 | f_sup: 1.08e+05 | g_sup: 9.08e+04        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.11 | half: 0.76        g(y) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.11 | half: 0.79
2020/07/29 20:02:39:     Epoch 13 Loss | total: 2.6693e+05 | cycle: 8.37e+03 | f_dist: 3.56e+04 | g_dist: 2.77e+04 | f_sup: 1.06e+05 | g_sup: 8.92e+04        f(x) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.12 | half: 0.76        g(y) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.12 | half: 0.79
2020/07/29 20:02:40:     Epoch 15 Loss | total: 2.6411e+05 | cycle: 8.81e+03 | f_dist: 3.5e+04 | g_dist: 2.75e+04 | f_sup: 1.05e+05 | g_sup: 8.81e+04        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.14 | half: 0.77        g(y) Accuracy | 1: 0.03 | 5: 0.07 | 10: 0.12 | half: 0.80
2020/07/29 20:02:40:     Epoch 17 Loss | total: 2.6059e+05 | cycle: 8.06e+03 | f_dist: 3.46e+04 | g_dist: 2.73e+04 | f_sup: 1.04e+05 | g_sup: 8.71e+04        f(x) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.14 | half: 0.78        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.12 | half: 0.81
2020/07/29 20:02:41:     Epoch 19 Loss | total: 2.5779e+05 | cycle: 8.05e+03 | f_dist: 3.42e+04 | g_dist: 2.72e+04 | f_sup: 1.02e+05 | g_sup: 8.59e+04        f(x) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.15 | half: 0.78        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.13 | half: 0.81
2020/07/29 20:02:42:     Epoch 21 Loss | total: 2.5445e+05 | cycle: 7.51e+03 | f_dist: 3.39e+04 | g_dist: 2.7e+04 | f_sup: 1.01e+05 | g_sup: 8.47e+04        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.16 | half: 0.79        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.81
2020/07/29 20:02:43:     Epoch 23 Loss | total: 2.5176e+05 | cycle: 7.85e+03 | f_dist: 3.37e+04 | g_dist: 2.69e+04 | f_sup: 9.99e+04 | g_sup: 8.34e+04        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.17 | half: 0.79        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.82
2020/07/29 20:02:44:     Epoch 25 Loss | total: 2.4693e+05 | cycle: 6.46e+03 | f_dist: 3.35e+04 | g_dist: 2.67e+04 | f_sup: 9.84e+04 | g_sup: 8.18e+04        f(x) Accuracy | 1: 0.03 | 5: 0.11 | 10: 0.17 | half: 0.79        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.83
