2020/07/30 06:59:54:     Epoch 1 Loss | total: 11691 | cycle: 851 | f_dist: 2.13e+03 | g_dist: 1.72e+03 | f_sup: 3.75e+03 | g_sup: 3.24e+03        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.52        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.55
2020/07/30 06:59:56:     Epoch 3 Loss | total: 8630.5 | cycle: 572 | f_dist: 1.84e+03 | g_dist: 1.52e+03 | f_sup: 2.61e+03 | g_sup: 2.09e+03        f(x) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.07 | half: 0.68        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.08 | half: 0.75
2020/07/30 06:59:57:     Epoch 5 Loss | total: 7242.9 | cycle: 444 | f_dist: 1.67e+03 | g_dist: 1.4e+03 | f_sup: 2.08e+03 | g_sup: 1.65e+03        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.13 | half: 0.84        g(y) Accuracy | 1: 0.04 | 5: 0.13 | 10: 0.17 | half: 0.88
2020/07/30 06:59:59:     Epoch 7 Loss | total: 6333.8 | cycle: 346 | f_dist: 1.54e+03 | g_dist: 1.31e+03 | f_sup: 1.75e+03 | g_sup: 1.39e+03        f(x) Accuracy | 1: 0.03 | 5: 0.14 | 10: 0.24 | half: 0.90        g(y) Accuracy | 1: 0.09 | 5: 0.21 | 10: 0.30 | half: 0.94
2020/07/30 07:00:01:     Epoch 9 Loss | total: 5773.6 | cycle: 298 | f_dist: 1.45e+03 | g_dist: 1.24e+03 | f_sup: 1.56e+03 | g_sup: 1.23e+03        f(x) Accuracy | 1: 0.09 | 5: 0.22 | 10: 0.33 | half: 0.93        g(y) Accuracy | 1: 0.11 | 5: 0.25 | 10: 0.38 | half: 0.96
2020/07/30 07:00:02:     Epoch 11 Loss | total: 5416.2 | cycle: 265 | f_dist: 1.39e+03 | g_dist: 1.2e+03 | f_sup: 1.43e+03 | g_sup: 1.13e+03        f(x) Accuracy | 1: 0.11 | 5: 0.25 | 10: 0.37 | half: 0.94        g(y) Accuracy | 1: 0.16 | 5: 0.31 | 10: 0.41 | half: 0.96
2020/07/30 07:00:04:     Epoch 13 Loss | total: 5177.9 | cycle: 238 | f_dist: 1.35e+03 | g_dist: 1.17e+03 | f_sup: 1.35e+03 | g_sup: 1.07e+03        f(x) Accuracy | 1: 0.14 | 5: 0.28 | 10: 0.41 | half: 0.94        g(y) Accuracy | 1: 0.16 | 5: 0.33 | 10: 0.45 | half: 0.96
2020/07/30 07:00:05:     Epoch 15 Loss | total: 5010 | cycle: 202 | f_dist: 1.33e+03 | g_dist: 1.15e+03 | f_sup: 1.3e+03 | g_sup: 1.02e+03        f(x) Accuracy | 1: 0.15 | 5: 0.31 | 10: 0.43 | half: 0.94        g(y) Accuracy | 1: 0.18 | 5: 0.34 | 10: 0.47 | half: 0.96
2020/07/30 07:00:07:     Epoch 17 Loss | total: 4902.9 | cycle: 181 | f_dist: 1.31e+03 | g_dist: 1.14e+03 | f_sup: 1.27e+03 | g_sup: 994        f(x) Accuracy | 1: 0.15 | 5: 0.32 | 10: 0.46 | half: 0.94        g(y) Accuracy | 1: 0.18 | 5: 0.37 | 10: 0.48 | half: 0.96
2020/07/30 07:00:08:     Epoch 19 Loss | total: 4860 | cycle: 189 | f_dist: 1.31e+03 | g_dist: 1.14e+03 | f_sup: 1.25e+03 | g_sup: 975        f(x) Accuracy | 1: 0.17 | 5: 0.33 | 10: 0.46 | half: 0.95        g(y) Accuracy | 1: 0.18 | 5: 0.38 | 10: 0.49 | half: 0.96
2020/07/30 07:00:10:     Epoch 21 Loss | total: 4790.2 | cycle: 163 | f_dist: 1.3e+03 | g_dist: 1.14e+03 | f_sup: 1.22e+03 | g_sup: 959        f(x) Accuracy | 1: 0.17 | 5: 0.33 | 10: 0.46 | half: 0.95        g(y) Accuracy | 1: 0.19 | 5: 0.39 | 10: 0.48 | half: 0.96
2020/07/30 07:00:11:     Epoch 23 Loss | total: 4699 | cycle: 151 | f_dist: 1.29e+03 | g_dist: 1.13e+03 | f_sup: 1.2e+03 | g_sup: 935        f(x) Accuracy | 1: 0.18 | 5: 0.34 | 10: 0.47 | half: 0.95        g(y) Accuracy | 1: 0.18 | 5: 0.39 | 10: 0.49 | half: 0.96
2020/07/30 07:00:13:     Epoch 25 Loss | total: 4628.4 | cycle: 152 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.17e+03 | g_sup: 912        f(x) Accuracy | 1: 0.19 | 5: 0.34 | 10: 0.48 | half: 0.94        g(y) Accuracy | 1: 0.19 | 5: 0.39 | 10: 0.51 | half: 0.96
2020/07/30 07:00:15:     Epoch 27 Loss | total: 4583.5 | cycle: 140 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.16e+03 | g_sup: 898        f(x) Accuracy | 1: 0.19 | 5: 0.35 | 10: 0.48 | half: 0.94        g(y) Accuracy | 1: 0.20 | 5: 0.39 | 10: 0.51 | half: 0.96
2020/07/30 07:00:16:     Epoch 29 Loss | total: 4541.4 | cycle: 120 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.15e+03 | g_sup: 889        f(x) Accuracy | 1: 0.18 | 5: 0.37 | 10: 0.49 | half: 0.94        g(y) Accuracy | 1: 0.21 | 5: 0.39 | 10: 0.52 | half: 0.96
2020/07/30 07:00:18:     Epoch 31 Loss | total: 4524.3 | cycle: 120 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.14e+03 | g_sup: 883        f(x) Accuracy | 1: 0.19 | 5: 0.37 | 10: 0.49 | half: 0.95        g(y) Accuracy | 1: 0.21 | 5: 0.40 | 10: 0.51 | half: 0.97
2020/07/30 07:00:19:     Epoch 33 Loss | total: 4515.7 | cycle: 120 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.13e+03 | g_sup: 878        f(x) Accuracy | 1: 0.20 | 5: 0.38 | 10: 0.50 | half: 0.95        g(y) Accuracy | 1: 0.20 | 5: 0.39 | 10: 0.51 | half: 0.97
2020/07/30 07:00:21:     Epoch 35 Loss | total: 4488.2 | cycle: 109 | f_dist: 1.27e+03 | g_dist: 1.12e+03 | f_sup: 1.12e+03 | g_sup: 869        f(x) Accuracy | 1: 0.20 | 5: 0.38 | 10: 0.49 | half: 0.94        g(y) Accuracy | 1: 0.21 | 5: 0.40 | 10: 0.51 | half: 0.97
